2011,2,23337,Stephen King
2010,2,The Confession,John Grisham
2009,2,The Associate,John Grisham
2008,2,The Story of Edgar Sawtelle,David Wroblewski
2007,2,A Thousand Splendid Suns,Khaled Hosseini
2006,2,Cross,James Patterson
2005,2,The Da Vinci Code,Dan Brown
2004,2,The Five People You Meet in Heaven,Mitch Albom
2003,2,The Da Vinci Code,Dan Brown
2002,2,Red Rabbit,Tom Clancy
2001,2,Skipping Christmas,John Grisham
2000,2,The Mark: The Beast Rules the World,Jerry B. Jenkins and Tim LaHaye
1999,2,Hannibal,Thomas Harris
1998,2,Rainbow Six,Tom Clancy
1997,2,Cold Mountain,Charles Frazier
1996,2,Executive Orders,Tom Clancy
1995,2,The Lost World,Michael Crichton
1994,2,Debt of Honor,Tom Clancy
1993,2,The Client,John Grisham
1992,2,The Pelican Brief,John Grisham
1991,2,The Sum of All Fears,Tom Clancy
1990,2,Four Past Midnight,Stephen King
1989,2,The Dark Half,Stephen King
1988,2,The Sands of Time,Sidney Sheldon
1987,2,Patriot Games,Tom Clancy
1986,2,Red Storm Rising,Tom Clancy and Larry Bond[citation needed]
1985,2,Texas,James A. Michener
1984,2,The Aquitaine Progression,Robert Ludlum
1983,2,Poland,James A. Michener
1982,2,Space,James A. Michener
1981,2,The Hotel New Hampshire,John Irving
1980,2,The Bourne Identity,Robert Ludlum
1979,2,Sophie's Choice,William Styron
1978,2,War and Remembrance,Herman Wouk
1977,2,The Thorn Birds,Colleen McCullough
1976,2,Sleeping Murder,Agatha Christie
1975,2,The Moneychangers,Arthur Hailey
1974,2,Watership Down,Richard Adams
1973,2,Once Is Not Enough,Jacqueline Susann
1972,2,5327,Aleksandr Solzhenitsyn
1971,2,The Exorcist,William P. Blatty
1970,2,The French Lieutenant's Woman,John Fowles
1969,2,The Godfather,Mario Puzo
1968,2,Couples,John Updike
1967,2,The Confessions of Nat Turner,William Styron
1966,2,The Adventurers,Harold Robbins
1965,2,Up the Down Staircase,Bel Kaufman
1964,2,Candy,Terry Southern and Mason Hoffenberg
1963,2,The Group,Mary McCarthy
1962,2,Dearly Beloved,Anne Morrow Lindbergh
1961,2,Franny and Zooey,J.D. Salinger
1960,2,Hawaii,James A. Michener
1959,2,Doctor Zhivago,Boris Pasternak
1958,2,Anatomy of a Murder,Robert Traver
1957,2,Peyton Place,Grace Metalious
1956,2,The Last Hurrah,Edwin O'Connor
1955,2,Auntie Mame,Patrick Dennis
1954,2,Mary Anne,Daphne du Maurier
1953,2,The Silver Chalice,Thomas B. Costain
1952,2,The Caine Mutiny,Herman Wouk
1951,2,The Caine Mutiny,Herman Wouk
1950,2,Joy Street,Frances Parkinson Keyes
1949,2,The Big Fisherman,Lloyd C. Douglas
1948,2,The Naked and the Dead,Norman Mailer
1947,2,The Moneyman,Thomas B. Costain
